診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2026-01,56
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2026-01,10
がんゲノム,DR_XX039,SL_0005,再診,紹介状無し,2026-01,1
アレルギー科,DR_AL001,SL_0009,再診,紹介状無し,2026-01,1
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2026-01,27
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2026-01,8
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2026-01,40
アレルギー科,DR_AL003,SL_0009,再診,紹介状無し,2026-01,1
アレルギー科,DR_RS2003,SL_0009,再診,紹介状無し,2026-01,1
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2026-01,42
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2026-01,6
アレルギー科,DR_RS2003,SL_0444,初診,紹介状あり,2026-01,1
アレルギー科,DR_RS2003,SL_0874,再診,紹介状無し,2026-01,1
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2026-01,20
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2026-01,25
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2026-01,103
ソーシャルワーカー,DR_XX034,SL_0825,再診,紹介状無し,2026-01,1
メンタルケア科,DR_MN001,SL_0009,再診,紹介状無し,2026-01,2
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2026-01,130
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2026-01,3
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2026-01,97
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2026-01,5
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2026-01,55
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2026-01,3
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2026-01,11
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2026-01,2
メンタルケア科,DR_MN007,SL_0009,再診,紹介状無し,2026-01,1
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2026-01,2
メンタルケア科,DR_MN009,SL_0721,再診,紹介状無し,2026-01,40
メンタルケア科,DR_MN009,SL_0763,再診,紹介状無し,2026-01,6
メンタルケア科,DR_MN010,SL_0828,再診,紹介状無し,2026-01,1
メンタルケア科,DR_MN011,SL_0891,再診,紹介状無し,2026-01,1
リウマチ膠原病内科,DR_RH001,SL_0008,再診,紹介状無し,2026-01,27
リウマチ膠原病内科,DR_RH001,SL_0009,再診,紹介状無し,2026-01,1
リウマチ膠原病内科,DR_RH002,SL_0009,再診,紹介状無し,2026-01,15
リウマチ膠原病内科,DR_RH002,SL_0014,再診,紹介状無し,2026-01,39
