診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,7,1.0,195.0,195.0,195.0,195.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,8,1.0,79.0,79.0,79.0,79.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,9,2.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,3.0,20.0,27.0,15.5,35.0,0.0,0.3,0.5,,
PICCCVポートセンター,0,13,2.0,2.5,2.5,1.2,3.8,7.0,7.0,10.5,,
PICCCVポートセンター,1,0,2.0,,,,,,,,,
PICCCVポートセンター,1,8,1.0,86.0,86.0,86.0,86.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,9,2.0,19.5,19.5,9.8,29.2,0.0,0.0,0.0,,
PICCCVポートセンター,1,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,0,2.0,,,,,,,,,
PICCCVポートセンター,2,7,1.0,140.0,140.0,140.0,140.0,2.0,2.0,2.0,,
PICCCVポートセンター,2,8,2.0,70.0,70.0,35.0,105.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,2.0,60.5,60.5,53.2,67.8,0.0,0.0,0.0,,
PICCCVポートセンター,2,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,0,1.0,,,,,,,,,
PICCCVポートセンター,3,7,1.0,41.0,41.0,41.0,41.0,12.0,12.0,12.0,,
PICCCVポートセンター,3,9,6.0,44.0,56.0,35.0,89.8,0.0,0.0,0.0,,
PICCCVポートセンター,3,10,3.0,3.5,3.5,1.8,5.2,0.0,0.0,0.0,,
