診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-08,57,0,57,0,0,7,0.0,0.0,0.0,12.28
がんゲノム,2025-08,14,0,14,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2025-08,128,1,127,1,1,6,0.78,100.0,0.78,4.69
ソーシャルワーカー,2025-08,128,0,128,0,0,25,0.0,0.0,0.0,19.53
メンタルケア科,2025-08,367,0,367,0,0,14,0.0,0.0,0.0,3.81
リウマチ膠原病内科,2025-08,961,35,926,34,34,35,3.64,97.14,3.54,3.64
一般消化器外科,2025-08,1025,58,967,43,45,78,5.66,74.14,4.39,7.61
中央処置室,2025-08,156,0,156,0,0,5,0.0,0.0,0.0,3.21
乳腺外科,2025-08,1461,53,1408,48,49,58,3.63,90.57,3.35,3.97
健診センター,2025-08,66,0,66,0,0,7,0.0,0.0,0.0,10.61
入退院支援センター,2025-08,650,0,650,0,0,0,0.0,0.0,0.0,0.0
内科,2025-08,366,214,152,25,44,0,58.47,11.68,12.02,0.0
呼吸器内科,2025-08,1163,87,1076,84,87,50,7.48,96.55,7.48,4.3
呼吸器外科,2025-08,131,2,129,2,2,3,1.53,100.0,1.53,2.29
外来手術室,2025-08,465,0,465,0,0,19,0.0,0.0,0.0,4.09
小児科,2025-08,610,137,473,66,66,58,22.46,48.18,10.82,9.51
形成外科,2025-08,541,33,508,29,29,37,6.1,87.88,5.36,6.84
循環器内科,2025-08,1349,129,1220,97,100,57,9.56,75.19,7.41,4.23
心理検査,2025-08,1,0,1,0,0,0,0.0,0.0,0.0,0.0
心臓血管外科,2025-08,188,2,186,1,1,8,1.06,50.0,0.53,4.26
感染症,2025-08,33,0,33,0,0,10,0.0,0.0,0.0,30.3
放射線治療科,2025-08,903,7,896,6,6,29,0.78,85.71,0.66,3.21
放射線診断科,2025-08,1,0,1,0,0,0,0.0,0.0,0.0,0.0
救急科,2025-08,379,275,104,13,17,4,72.56,4.73,4.49,1.06
整形外科,2025-08,1594,207,1387,191,192,88,12.99,92.27,12.05,5.52
歯科口腔外科,2025-08,1070,235,835,174,174,37,21.96,74.04,16.26,3.46
泌尿器科,2025-08,3214,108,3106,92,93,152,3.36,85.19,2.89,4.73
消化器内科,2025-08,1416,138,1278,124,125,51,9.75,89.86,8.83,3.6
産婦人科,2025-08,1962,163,1799,122,123,240,8.31,74.85,6.27,12.23
皮膚・排泄ケア,2025-08,73,0,73,0,0,66,0.0,0.0,0.0,90.41
皮膚科,2025-08,1208,104,1104,84,84,42,8.61,80.77,6.95,3.48
看護部,2025-08,107,0,107,0,0,16,0.0,0.0,0.0,14.95
眼科,2025-08,3077,168,2909,155,156,124,5.46,92.26,5.07,4.03
禁煙外来,2025-08,9,0,9,0,0,0,0.0,0.0,0.0,0.0
移行期医療支援外来,2025-08,1,0,1,0,0,0,0.0,0.0,0.0,0.0
総合内科,2025-08,1228,193,1035,119,121,41,15.72,61.66,9.85,3.34
緩和ケアチーム,2025-08,23,0,23,0,0,13,0.0,0.0,0.0,56.52
耳鼻咽喉科,2025-08,1758,181,1577,142,144,65,10.3,78.45,8.19,3.7
脳神経内科,2025-08,434,43,391,42,42,20,9.91,97.67,9.68,4.61
脳神経外科,2025-08,204,32,172,27,28,11,15.69,84.38,13.73,5.39
腎内科,2025-08,773,24,749,24,24,33,3.1,100.0,3.1,4.27
臨床工学技師,2025-08,237,0,237,0,0,177,0.0,0.0,0.0,74.68
臨床腫瘍科,2025-08,132,0,132,0,0,3,0.0,0.0,0.0,2.27
薬剤部,2025-08,151,0,151,0,0,3,0.0,0.0,0.0,1.99
血液内科,2025-08,815,16,799,16,17,28,1.96,100.0,2.09,3.44
退院支援,2025-08,151,0,151,0,0,58,0.0,0.0,0.0,38.41
通院治療センター,2025-08,40,0,40,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-08,61,10,51,3,9,8,16.39,30.0,14.75,13.11
骨転移カンファレンス,2025-08,7,0,7,0,0,5,0.0,0.0,0.0,71.43
麻酔科,2025-08,376,0,376,0,0,1,0.0,0.0,0.0,0.27
ＥＳＴ(倫理相談),2025-08,1,0,1,0,0,1,0.0,0.0,0.0,100.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-08,86,2,84,2,2,2,2.33,100.0,2.33,2.33
