診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2025-08,再診,紹介状無し,57
がんゲノム,2025-08,再診,紹介状無し,14
アレルギー科,2025-08,再診,紹介状無し,127
アレルギー科,2025-08,初診,紹介状あり,1
ソーシャルワーカー,2025-08,再診,紹介状無し,128
メンタルケア科,2025-08,再診,紹介状無し,367
リウマチ膠原病内科,2025-08,再診,紹介状無し,926
リウマチ膠原病内科,2025-08,初診,紹介状あり,34
リウマチ膠原病内科,2025-08,初診,紹介状無し,1
一般消化器外科,2025-08,再診,紹介状あり,2
一般消化器外科,2025-08,再診,紹介状無し,965
一般消化器外科,2025-08,初診,紹介状あり,43
一般消化器外科,2025-08,初診,紹介状無し,15
中央処置室,2025-08,再診,紹介状無し,156
乳腺外科,2025-08,再診,紹介状あり,1
乳腺外科,2025-08,再診,紹介状無し,1407
乳腺外科,2025-08,初診,紹介状あり,48
乳腺外科,2025-08,初診,紹介状無し,5
健診センター,2025-08,再診,紹介状無し,66
入退院支援センター,2025-08,再診,紹介状無し,650
内科,2025-08,再診,紹介状あり,19
内科,2025-08,再診,紹介状無し,133
内科,2025-08,初診,紹介状あり,25
内科,2025-08,初診,紹介状無し,189
呼吸器内科,2025-08,再診,紹介状あり,3
呼吸器内科,2025-08,再診,紹介状無し,1073
呼吸器内科,2025-08,初診,紹介状あり,84
呼吸器内科,2025-08,初診,紹介状無し,3
呼吸器外科,2025-08,再診,紹介状無し,129
呼吸器外科,2025-08,初診,紹介状あり,2
外来手術室,2025-08,再診,紹介状無し,465
小児科,2025-08,再診,紹介状無し,473
小児科,2025-08,初診,紹介状あり,66
小児科,2025-08,初診,紹介状無し,71
形成外科,2025-08,再診,紹介状無し,508
形成外科,2025-08,初診,紹介状あり,29
形成外科,2025-08,初診,紹介状無し,4
循環器内科,2025-08,再診,紹介状あり,3
循環器内科,2025-08,再診,紹介状無し,1217
循環器内科,2025-08,初診,紹介状あり,97
循環器内科,2025-08,初診,紹介状無し,32
心理検査,2025-08,再診,紹介状無し,1
心臓血管外科,2025-08,再診,紹介状無し,186
心臓血管外科,2025-08,初診,紹介状あり,1
心臓血管外科,2025-08,初診,紹介状無し,1
感染症,2025-08,再診,紹介状無し,33
放射線治療科,2025-08,再診,紹介状無し,896
放射線治療科,2025-08,初診,紹介状あり,6
放射線治療科,2025-08,初診,紹介状無し,1
放射線診断科,2025-08,再診,紹介状無し,1
救急科,2025-08,再診,紹介状あり,4
救急科,2025-08,再診,紹介状無し,100
救急科,2025-08,初診,紹介状あり,13
救急科,2025-08,初診,紹介状無し,262
整形外科,2025-08,再診,紹介状あり,1
整形外科,2025-08,再診,紹介状無し,1386
整形外科,2025-08,初診,紹介状あり,191
整形外科,2025-08,初診,紹介状無し,16
歯科口腔外科,2025-08,再診,紹介状無し,835
歯科口腔外科,2025-08,初診,紹介状あり,174
歯科口腔外科,2025-08,初診,紹介状無し,61
泌尿器科,2025-08,再診,紹介状あり,1
泌尿器科,2025-08,再診,紹介状無し,3105
泌尿器科,2025-08,初診,紹介状あり,92
泌尿器科,2025-08,初診,紹介状無し,16
消化器内科,2025-08,再診,紹介状あり,1
消化器内科,2025-08,再診,紹介状無し,1277
消化器内科,2025-08,初診,紹介状あり,124
消化器内科,2025-08,初診,紹介状無し,14
産婦人科,2025-08,再診,紹介状あり,1
