診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-08,57,40,0.702,57,1.0,0.0,90.1
がんゲノム,DR_ON001,SL_0088,2025-08,14,0,0.0,14,1.0,29.0,33.9
アレルギー科,DR_RS2003,SL_0061,2025-08,36,8,0.222,36,1.0,5.0,68.4
アレルギー科,DR_AL002,SL_0189,2025-08,28,5,0.179,28,1.0,7.0,64.7
アレルギー科,DR_RS2005,SL_0100,2025-08,27,3,0.111,27,1.0,7.0,62.5
アレルギー科,DR_AL001,SL_0033,2025-08,25,1,0.04,25,1.0,8.0,59.0
アレルギー科,DR_AL001,SL_0009,2025-08,1,0,0.0,1,1.0,17.0,
アレルギー科,DR_AL002,SL_0009,2025-08,2,1,0.5,2,1.0,0.0,
アレルギー科,DR_AL003,SL_0009,2025-08,1,1,1.0,1,1.0,0.0,
アレルギー科,DR_RS2003,SL_0361,2025-08,3,2,0.667,3,1.0,3.0,
アレルギー科,DR_RS2003,SL_0874,2025-08,1,0,0.0,1,1.0,9.0,
アレルギー科,DR_RS2005,SL_0009,2025-08,1,1,1.0,1,1.0,0.0,
アレルギー科,DR_RS2005,SL_0652,2025-08,2,1,0.5,2,1.0,5.5,
ソーシャルワーカー,DR_XX001,SL_0011,2025-08,100,81,0.81,100,1.0,0.0,93.7
ソーシャルワーカー,DR_XX001,SL_0009,2025-08,27,13,0.481,27,1.0,0.0,82.7
ソーシャルワーカー,DR_XX031,SL_0767,2025-08,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN005,SL_0609,2025-08,12,12,1.0,12,1.0,0.0,100.0
メンタルケア科,DR_MN002,SL_0009,2025-08,101,58,0.574,101,1.0,1.0,84.7
メンタルケア科,DR_MN001,SL_0043,2025-08,107,27,0.252,107,1.0,8.0,66.0
メンタルケア科,DR_MN004,SL_0255,2025-08,67,16,0.239,67,1.0,8.0,65.6
メンタルケア科,DR_MN009,SL_0721,2025-08,49,4,0.082,49,1.0,13.0,54.7
メンタルケア科,DR_MN001,SL_0009,2025-08,2,1,0.5,2,1.0,16.5,
メンタルケア科,DR_MN001,SL_0624,2025-08,6,1,0.167,6,1.0,10.0,
メンタルケア科,DR_MN004,SL_0009,2025-08,7,2,0.286,7,1.0,27.0,
メンタルケア科,DR_MN004,SL_0545,2025-08,3,1,0.333,3,1.0,15.5,
メンタルケア科,DR_MN007,SL_0009,2025-08,1,0,0.0,1,1.0,57.0,
メンタルケア科,DR_MN007,SL_0951,2025-08,1,0,0.0,1,1.0,12.0,
メンタルケア科,DR_MN008,SL_0678,2025-08,2,2,1.0,2,1.0,0.0,
メンタルケア科,DR_MN009,SL_0763,2025-08,7,1,0.143,7,1.0,10.0,
メンタルケア科,DR_MN011,SL_0009,2025-08,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN012,SL_0009,2025-08,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH010,SL_0009,2025-08,12,9,0.75,12,1.0,0.5,91.1
リウマチ膠原病内科,DR_RH005,SL_0156,2025-08,29,18,0.621,29,1.0,0.0,87.4
リウマチ膠原病内科,DR_RH007,SL_0009,2025-08,40,23,0.575,40,1.0,1.5,84.1
リウマチ膠原病内科,DR_RH004,SL_0139,2025-08,91,43,0.473,91,1.0,5.0,76.8
リウマチ膠原病内科,DR_RH010,SL_0222,2025-08,106,37,0.349,106,1.0,5.0,72.7
リウマチ膠原病内科,DR_RH009,SL_0210,2025-08,195,62,0.318,195,1.0,6.0,70.5
リウマチ膠原病内科,DR_RH003,SL_0066,2025-08,112,29,0.259,112,1.0,7.0,67.4
リウマチ膠原病内科,DR_RH003,SL_0009,2025-08,19,5,0.263,19,1.0,8.0,66.4
