診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-09,49,43,0.878,49,1.0,0.0,95.9
がんゲノム,DR_ON001,SL_0088,2025-09,15,2,0.133,15,1.0,15.0,54.4
アレルギー科,DR_RS2003,SL_0061,2025-09,43,12,0.279,43,1.0,5.0,70.4
アレルギー科,DR_AL002,SL_0189,2025-09,50,14,0.28,50,1.0,6.0,69.3
アレルギー科,DR_RS2005,SL_0100,2025-09,35,5,0.143,35,1.0,8.0,62.5
アレルギー科,DR_AL001,SL_0033,2025-09,31,1,0.032,31,1.0,9.0,57.7
アレルギー科,DR_AL001,SL_0009,2025-09,2,0,0.0,2,1.0,8.0,
アレルギー科,DR_AL001,SL_0736,2025-09,1,0,0.0,1,1.0,,
アレルギー科,DR_AL002,SL_0009,2025-09,2,0,0.0,2,1.0,14.0,
アレルギー科,DR_RS2003,SL_0009,2025-09,2,1,0.5,2,1.0,8.5,
アレルギー科,DR_RS2003,SL_0361,2025-09,5,0,0.0,5,1.0,8.0,
アレルギー科,DR_RS2003,SL_0874,2025-09,1,1,1.0,1,1.0,3.0,
アレルギー科,DR_RS2005,SL_0009,2025-09,2,1,0.5,2,1.0,6.0,
アレルギー科,DR_RS2005,SL_0652,2025-09,1,0,0.0,1,1.0,29.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-09,106,67,0.632,106,1.0,0.0,87.7
ソーシャルワーカー,DR_XX001,SL_0009,2025-09,20,10,0.5,20,1.0,0.0,83.3
ソーシャルワーカー,DR_XX031,SL_0767,2025-09,1,1,1.0,1,1.0,0.0,
ソーシャルワーカー,DR_XX034,SL_0825,2025-09,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN005,SL_0609,2025-09,13,13,1.0,13,1.0,0.0,100.0
メンタルケア科,DR_MN002,SL_0009,2025-09,97,46,0.474,97,1.0,2.5,79.7
メンタルケア科,DR_MN004,SL_0255,2025-09,78,20,0.256,78,1.0,7.0,67.4
メンタルケア科,DR_MN001,SL_0043,2025-09,111,17,0.153,111,1.0,9.0,61.8
メンタルケア科,DR_MN004,SL_0009,2025-09,10,1,0.1,10,1.0,12.0,56.7
メンタルケア科,DR_MN009,SL_0721,2025-09,40,0,0.0,40,1.0,14.0,51.1
メンタルケア科,DR_MN001,SL_0009,2025-09,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN001,SL_0624,2025-09,9,4,0.444,9,1.0,5.0,
メンタルケア科,DR_MN004,SL_0545,2025-09,4,0,0.0,4,1.0,34.0,
メンタルケア科,DR_MN007,SL_0951,2025-09,1,1,1.0,1,1.0,0.0,
メンタルケア科,DR_MN008,SL_0678,2025-09,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN009,SL_0763,2025-09,6,1,0.167,6,1.0,23.0,
メンタルケア科,DR_MN010,SL_0828,2025-09,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN012,SL_0009,2025-09,1,0,0.0,1,1.0,32.0,
リウマチ膠原病内科,DR_RH005,SL_0156,2025-09,35,23,0.657,35,1.0,0.0,88.6
リウマチ膠原病内科,DR_RH004,SL_0139,2025-09,119,64,0.538,119,1.0,4.0,80.2
リウマチ膠原病内科,DR_RH007,SL_0009,2025-09,55,27,0.491,55,1.0,4.0,78.6
リウマチ膠原病内科,DR_RH010,SL_0222,2025-09,101,32,0.317,101,1.0,6.0,70.6
リウマチ膠原病内科,DR_RH009,SL_0210,2025-09,209,58,0.278,209,1.0,5.0,70.4
リウマチ膠原病内科,DR_RH003,SL_0066,2025-09,135,34,0.252,134,0.993,6.0,67.8
リウマチ膠原病内科,DR_RH003,SL_0009,2025-09,23,5,0.217,23,1.0,9.5,63.3
リウマチ膠原病内科,DR_RH001,SL_0008,2025-09,30,4,0.133,30,1.0,9.0,61.1
リウマチ膠原病内科,DR_RH006,SL_0174,2025-09,178,22,0.124,178,1.0,9.0,60.8
リウマチ膠原病内科,DR_RH011,SL_0368,2025-09,11,2,0.182,11,1.0,11.0,60.5
リウマチ膠原病内科,DR_RH002,SL_0014,2025-09,33,3,0.091,33,1.0,13.0,55.3
リウマチ膠原病内科,DR_RH002,SL_0009,2025-09,10,1,0.1,10,1.0,14.0,54.4
リウマチ膠原病内科,DR_RH008,SL_0201,2025-09,12,0,0.0,12,1.0,15.5,49.4
リウマチ膠原病内科,DR_RH002,SL_0682,2025-09,2,0,0.0,2,1.0,23.0,
リウマチ膠原病内科,DR_RH003,SL_0526,2025-09,4,1,0.25,4,1.0,10.5,
リウマチ膠原病内科,DR_RH004,SL_0009,2025-09,2,1,0.5,2,1.0,5.0,
リウマチ膠原病内科,DR_RH005,SL_0009,2025-09,2,2,1.0,2,1.0,0.5,
リウマチ膠原病内科,DR_RH006,SL_0009,2025-09,9,1,0.111,9,1.0,20.0,
リウマチ膠原病内科,DR_RH006,SL_0611,2025-09,4,0,0.0,4,1.0,19.5,
リウマチ膠原病内科,DR_RH007,SL_0176,2025-09,4,1,0.25,4,1.0,10.0,
リウマチ膠原病内科,DR_RH009,SL_0009,2025-09,7,0,0.0,7,1.0,12.0,
リウマチ膠原病内科,DR_RH009,SL_0340,2025-09,8,2,0.25,8,1.0,15.0,
リウマチ膠原病内科,DR_RH010,SL_0009,2025-09,9,7,0.778,9,1.0,1.0,
リウマチ膠原病内科,DR_RH011,SL_0009,2025-09,6,1,0.167,6,1.0,21.0,
リウマチ膠原病内科,DR_RH012,SL_0005,2025-09,1,0,0.0,1,1.0,,
リウマチ膠原病内科,DR_RH013,SL_0009,2025-09,4,0,0.0,4,1.0,18.0,
リウマチ膠原病内科,DR_RH013,SL_0596,2025-09,4,0,0.0,4,1.0,12.5,
リウマチ膠原病内科,DR_RH014,SL_0926,2025-09,1,0,0.0,1,1.0,59.0,
一般消化器外科,DR_BR005,SL_0009,2025-09,37,29,0.784,37,1.0,0.0,92.8
一般消化器外科,DR_GS011,SL_0009,2025-09,52,37,0.712,52,1.0,0.0,90.4
一般消化器外科,DR_GS011,SL_0422,2025-09,11,7,0.636,11,1.0,1.0,86.8
一般消化器外科,DR_GS016,SL_0770,2025-09,20,11,0.55,20,1.0,3.0,81.7
一般消化器外科,DR_GS002,SL_0085,2025-09,114,54,0.474,114,1.0,4.5,77.5
一般消化器外科,DR_GS018,SL_0933,2025-09,74,35,0.473,74,1.0,5.0,76.9
一般消化器外科,DR_GS006,SL_0202,2025-09,111,48,0.432,109,0.982,5.0,73.9
一般消化器外科,DR_GS001,SL_0022,2025-09,148,58,0.392,148,1.0,6.0,73.1
一般消化器外科,DR_GS014,SL_0523,2025-09,14,6,0.429,13,0.929,2.0,72.2
一般消化器外科,DR_GS008,SL_0229,2025-09,37,10,0.27,37,1.0,8.0,66.8
一般消化器外科,DR_GS009,SL_0374,2025-09,55,13,0.236,55,1.0,8.5,65.1
一般消化器外科,DR_GS003,SL_0103,2025-09,217,18,0.083,217,1.0,9.0,59.4
一般消化器外科,DR_GS005,SL_0194,2025-09,46,5,0.109,46,1.0,10.0,59.2
一般消化器外科,DR_GS001,SL_0009,2025-09,16,5,0.312,15,0.938,11.5,58.6
一般消化器外科,DR_GS015,SL_0715,2025-09,66,1,0.015,66,1.0,11.0,54.9
一般消化器外科,DR_GS003,SL_0280,2025-09,11,0,0.0,11,1.0,14.5,50.6
一般消化器外科,DR_BR005,SL_0516,2025-09,7,6,0.857,7,1.0,0.0,
一般消化器外科,DR_GS001,SL_0021,2025-09,7,0,0.0,7,1.0,22.0,
一般消化器外科,DR_GS001,SL_0454,2025-09,2,0,0.0,2,1.0,15.5,
一般消化器外科,DR_GS002,SL_0009,2025-09,4,2,0.5,4,1.0,7.5,
一般消化器外科,DR_GS002,SL_0568,2025-09,3,0,0.0,3,1.0,12.0,
一般消化器外科,DR_GS003,SL_0009,2025-09,3,0,0.0,3,1.0,9.0,
一般消化器外科,DR_GS005,SL_0009,2025-09,4,3,0.75,4,1.0,0.0,
一般消化器外科,DR_GS005,SL_0607,2025-09,2,0,0.0,2,1.0,19.5,
一般消化器外科,DR_GS006,SL_0009,2025-09,1,1,1.0,1,1.0,0.0,
一般消化器外科,DR_GS006,SL_0501,2025-09,6,1,0.167,6,1.0,11.0,
一般消化器外科,DR_GS007,SL_0219,2025-09,42,0,0.0,42,1.0,,
一般消化器外科,DR_GS008,SL_0009,2025-09,2,1,0.5,2,1.0,10.0,
一般消化器外科,DR_GS008,SL_0491,2025-09,1,0,0.0,1,1.0,52.0,
一般消化器外科,DR_GS009,SL_0009,2025-09,2,2,1.0,2,1.0,0.0,
一般消化器外科,DR_GS009,SL_0613,2025-09,3,0,0.0,3,1.0,26.0,
一般消化器外科,DR_GS012,SL_0009,2025-09,3,3,1.0,3,1.0,0.0,
一般消化器外科,DR_GS012,SL_0443,2025-09,5,5,1.0,5,1.0,0.0,
一般消化器外科,DR_GS013,SL_0005,2025-09,5,0,0.0,5,1.0,,
一般消化器外科,DR_GS014,SL_0009,2025-09,1,0,0.0,1,1.0,,
一般消化器外科,DR_GS015,SL_0009,2025-09,2,1,0.5,2,1.0,6.0,
一般消化器外科,DR_GS015,SL_0739,2025-09,6,1,0.167,6,1.0,15.0,
一般消化器外科,DR_GS016,SL_0009,2025-09,1,1,1.0,1,1.0,0.0,
一般消化器外科,DR_GS016,SL_0753,2025-09,3,3,1.0,3,1.0,0.0,
一般消化器外科,DR_GS017,SL_0863,2025-09,2,2,1.0,2,1.0,0.0,
一般消化器外科,DR_GS018,SL_0009,2025-09,3,2,0.667,3,1.0,0.0,
一般消化器外科,DR_GS018,SL_0938,2025-09,5,2,0.4,5,1.0,11.0,
中央処置室,DR_XX002,SL_0018,2025-09,157,1,0.006,157,1.0,0.0,66.9
中央処置室,DR_XX002,SL_0009,2025-09,7,0,0.0,7,1.0,,
乳腺外科,DR_BR006,SL_0175,2025-09,835,553,0.662,835,1.0,3.0,85.4
乳腺外科,DR_BR014,SL_0702,2025-09,299,190,0.635,299,1.0,3.0,84.5
乳腺外科,DR_BR006,SL_0009,2025-09,128,73,0.57,128,1.0,4.0,81.2
乳腺外科,DR_BR014,SL_0009,2025-09,20,8,0.4,20,1.0,5.0,74.4
乳腺外科,DR_BR015,SL_0839,2025-09,92,30,0.326,92,1.0,6.0,70.9
乳腺外科,DR_BR008,SL_0241,2025-09,76,21,0.276,76,1.0,8.0,67.0
乳腺外科,DR_BR005,SL_0009,2025-09,1,1,1.0,1,1.0,0.0,
乳腺外科,DR_BR005,SL_0516,2025-09,5,3,0.6,5,1.0,3.0,
乳腺外科,DR_BR006,SL_0841,2025-09,1,1,1.0,1,1.0,4.0,
乳腺外科,DR_BR006,SL_0843,2025-09,1,1,1.0,1,1.0,4.0,
乳腺外科,DR_BR006,SL_0849,2025-09,3,2,0.667,3,1.0,4.0,
乳腺外科,DR_BR009,SL_0005,2025-09,10,0,0.0,10,1.0,,
乳腺外科,DR_BR010,SL_0412,2025-09,1,0,0.0,1,1.0,,
乳腺外科,DR_BR011,SL_0009,2025-09,3,1,0.333,3,1.0,2.0,
乳腺外科,DR_BR011,SL_0459,2025-09,2,1,0.5,2,1.0,1.0,
乳腺外科,DR_BR012,SL_0009,2025-09,5,2,0.4,5,1.0,4.0,
乳腺外科,DR_BR012,SL_0476,2025-09,6,4,0.667,6,1.0,3.0,
乳腺外科,DR_BR013,SL_0481,2025-09,8,3,0.375,8,1.0,5.5,
乳腺外科,DR_BR014,SL_0751,2025-09,1,1,1.0,1,1.0,4.0,
乳腺外科,DR_BR014,SL_0777,2025-09,6,2,0.333,6,1.0,7.0,
乳腺外科,DR_BR015,SL_0009,2025-09,1,0,0.0,1,1.0,5.0,
乳腺外科,DR_BR015,SL_0862,2025-09,4,2,0.5,4,1.0,6.0,
健診センター,DR_XX012,SL_0432,2025-09,15,3,0.2,15,1.0,6.0,66.7
健診センター,DR_XX012,SL_0217,2025-09,11,3,0.273,11,1.0,11.0,63.5
健診センター,DR_XX012,SL_0223,2025-09,26,1,0.038,26,1.0,18.0,47.9
健診センター,DR_XX012,SL_0009,2025-09,1,0,0.0,1,1.0,,
健診センター,DR_XX012,SL_0614,2025-09,2,1,0.5,2,1.0,9.0,
健診センター,DR_XX012,SL_0621,2025-09,3,0,0.0,3,1.0,,
健診センター,DR_XX012,SL_0693,2025-09,2,0,0.0,2,1.0,,
健診センター,DR_XX012,SL_0850,2025-09,3,0,0.0,3,1.0,,
健診センター,DR_XX012,SL_0887,2025-09,1,0,0.0,1,1.0,12.0,
健診センター,DR_XX012,SL_0892,2025-09,4,0,0.0,4,1.0,,
健診センター,DR_XX012,SL_0950,2025-09,1,0,0.0,1,1.0,,
入退院支援センター,DR_AD001,SL_0004,2025-09,594,594,1.0,594,1.0,0.0,100.0
入退院支援センター,DR_AD001,SL_0009,2025-09,57,57,1.0,57,1.0,0.0,100.0
内科,DR_IM001,SL_0015,2025-09,143,48,0.336,128,0.895,9.0,58.3
内科,DR_IM001,SL_0009,2025-09,1,1,1.0,1,1.0,1.0,
呼吸器内科,DR_RS2009,SL_0009,2025-09,74,47,0.635,74,1.0,0.0,87.8
呼吸器内科,DR_RS2004,SL_0009,2025-09,32,17,0.531,32,1.0,3.0,81.0
呼吸器内科,DR_RS2013,SL_0005,2025-09,14,4,0.286,14,1.0,0.0,76.2
呼吸器内科,DR_AL002,SL_0189,2025-09,177,63,0.356,177,1.0,6.0,71.9
呼吸器内科,DR_RS2003,SL_0061,2025-09,148,48,0.324,148,1.0,6.0,70.8
呼吸器内科,DR_RS2010,SL_0167,2025-09,96,28,0.292,96,1.0,6.0,69.7
呼吸器内科,DR_RS2005,SL_0100,2025-09,117,31,0.265,117,1.0,6.5,68.3
呼吸器内科,DR_RS2004,SL_0082,2025-09,242,53,0.219,242,1.0,8.0,65.1
呼吸器内科,DR_AL001,SL_0033,2025-09,57,9,0.158,57,1.0,8.0,63.0
呼吸器内科,DR_RS2003,SL_0213,2025-09,14,2,0.143,14,1.0,8.0,62.5
呼吸器内科,DR_RS2006,SL_0106,2025-09,130,19,0.146,130,1.0,10.0,60.4
呼吸器内科,DR_RS2009,SL_0366,2025-09,13,5,0.385,11,0.846,6.0,58.7
呼吸器内科,DR_RS2008,SL_0127,2025-09,53,4,0.075,53,1.0,13.0,54.7
呼吸器内科,DR_RS2007,SL_0126,2025-09,29,3,0.103,29,1.0,14.5,54.0
