診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,9,5.0,40.0,93.0,29.0,52.0,0.0,1.6,2.0,,
PICCCVポートセンター,0,10,1.0,106.0,106.0,106.0,106.0,19.0,19.0,19.0,,
PICCCVポートセンター,0,12,1.0,270.0,270.0,270.0,270.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,14,2.0,79.5,79.5,39.8,119.2,0.0,0.0,0.0,,
PICCCVポートセンター,0,15,1.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,8,2.0,230.0,230.0,206.5,253.5,0.0,0.0,0.0,,
PICCCVポートセンター,1,10,9.0,0.0,17.0,0.0,9.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,11,1.0,83.0,83.0,83.0,83.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,16,1.0,,,,,,,,,
PICCCVポートセンター,2,8,3.0,340.0,249.3,185.5,358.5,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,8,3.0,397.0,394.0,392.0,397.5,10.0,18.0,27.0,,
PICCCVポートセンター,3,9,3.0,105.0,86.3,73.5,108.5,0.0,0.0,0.0,,
PICCCVポートセンター,3,10,3.0,0.0,90.0,0.0,135.0,0.0,0.7,1.0,,
PICCCVポートセンター,3,11,3.0,0.0,80.7,0.0,121.0,0.0,6.0,9.0,,
PICCCVポートセンター,4,8,2.0,197.0,197.0,168.0,226.0,0.0,0.0,0.0,,
