診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2025-09,49,0,49,0,0,0,0.0,0.0,0.0,0.0
がんゲノム,2025-09,15,0,15,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2025-09,177,2,175,2,2,8,1.13,100.0,1.13,4.52
ソーシャルワーカー,2025-09,128,0,128,0,0,33,0.0,0.0,0.0,25.78
メンタルケア科,2025-09,373,0,373,0,0,28,0.0,0.0,0.0,7.51
リウマチ膠原病内科,2025-09,1048,30,1018,29,30,30,2.86,96.67,2.86,2.86
一般消化器外科,2025-09,1213,59,1154,56,60,97,4.86,94.92,4.95,8.0
中央処置室,2025-09,164,0,164,0,0,2,0.0,0.0,0.0,1.22
乳腺外科,2025-09,1582,74,1508,66,66,56,4.68,89.19,4.17,3.54
健診センター,2025-09,69,0,69,0,0,14,0.0,0.0,0.0,20.29
入退院支援センター,2025-09,651,0,651,0,0,0,0.0,0.0,0.0,0.0
内科,2025-09,367,223,144,21,36,0,60.76,9.42,9.81,0.0
呼吸器内科,2025-09,1350,73,1277,70,72,48,5.41,95.89,5.33,3.56
呼吸器外科,2025-09,206,6,200,6,6,7,2.91,100.0,2.91,3.4
外来手術室,2025-09,463,0,463,0,0,36,0.0,0.0,0.0,7.78
小児科,2025-09,557,126,431,63,64,38,22.62,50.0,11.49,6.82
形成外科,2025-09,597,45,552,35,37,37,7.54,77.78,6.2,6.2
循環器内科,2025-09,1573,124,1449,102,108,65,7.88,82.26,6.87,4.13
心臓血管外科,2025-09,183,2,181,2,2,7,1.09,100.0,1.09,3.83
感染症,2025-09,24,0,24,0,0,5,0.0,0.0,0.0,20.83
放射線治療科,2025-09,906,8,898,7,7,36,0.88,87.5,0.77,3.97
放射線診断科,2025-09,1,0,1,0,0,0,0.0,0.0,0.0,0.0
救急科,2025-09,353,234,119,12,20,5,66.29,5.13,5.67,1.42
整形外科,2025-09,1811,229,1582,207,210,103,12.64,90.39,11.6,5.69
歯科口腔外科,2025-09,1096,224,872,161,161,27,20.44,71.88,14.69,2.46
泌尿器科,2025-09,3699,122,3577,98,102,213,3.3,80.33,2.76,5.76
消化器内科,2025-09,1588,162,1426,151,157,64,10.2,93.21,9.89,4.03
産婦人科,2025-09,1924,124,1800,107,108,190,6.44,86.29,5.61,9.88
皮膚・排泄ケア,2025-09,74,0,74,0,0,57,0.0,0.0,0.0,77.03
皮膚科,2025-09,1234,125,1109,96,97,66,10.13,76.8,7.86,5.35
看護部,2025-09,113,0,113,0,0,14,0.0,0.0,0.0,12.39
眼科,2025-09,3195,190,3005,175,175,127,5.95,92.11,5.48,3.97
禁煙外来,2025-09,4,0,4,0,0,1,0.0,0.0,0.0,25.0
移行期医療支援外来,2025-09,1,0,1,0,0,0,0.0,0.0,0.0,0.0
総合内科,2025-09,1215,196,1019,121,122,40,16.13,61.73,10.04,3.29
緩和ケアチーム,2025-09,34,0,34,0,0,23,0.0,0.0,0.0,67.65
緩和ケア内科,2025-09,1,0,1,0,0,0,0.0,0.0,0.0,0.0
耳鼻咽喉科,2025-09,1960,197,1763,175,175,108,10.05,88.83,8.93,5.51
職員健康診断,2025-09,17,0,17,0,0,17,0.0,0.0,0.0,100.0
脳神経内科,2025-09,597,67,530,65,65,26,11.22,97.01,10.89,4.36
脳神経外科,2025-09,259,33,226,22,24,8,12.74,66.67,9.27,3.09
腎内科,2025-09,787,20,767,16,18,19,2.54,80.0,2.29,2.41
臨床工学技師,2025-09,245,0,245,0,0,188,0.0,0.0,0.0,76.73
臨床腫瘍科,2025-09,189,0,189,0,0,3,0.0,0.0,0.0,1.59
薬剤部,2025-09,153,0,153,0,0,4,0.0,0.0,0.0,2.61
血液内科,2025-09,843,23,820,23,23,26,2.73,100.0,2.73,3.08
退院支援,2025-09,153,0,153,0,0,67,0.0,0.0,0.0,43.79
通院治療センター,2025-09,34,0,34,0,0,0,0.0,0.0,0.0,0.0
遺伝診療科,2025-09,70,17,53,5,11,4,24.29,29.41,15.71,5.71
骨転移カンファレンス,2025-09,5,0,5,0,0,1,0.0,0.0,0.0,20.0
麻酔科,2025-09,384,0,384,0,0,0,0.0,0.0,0.0,0.0
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-09,100,2,98,2,2,7,2.0,100.0,2.0,7.0
