診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,病院到着,枠なし予約,0,1
PICCCVポートセンター,病院到着,枠なし予約,1,1
PICCCVポートセンター,病院到着,枠なし予約,4,1
PICCCVポートセンター,終了,枠なし予約,0,9
PICCCVポートセンター,終了,枠なし予約,1,13
PICCCVポートセンター,終了,枠なし予約,2,6
PICCCVポートセンター,終了,枠なし予約,3,12
PICCCVポートセンター,終了,枠なし予約,4,6
がんゲノム,終了,枠あり予約,0,7
がんゲノム,終了,枠あり予約,1,8
アレルギー科,未来院,枠あり予約,0,1
アレルギー科,未来院,枠あり予約,1,1
アレルギー科,未来院,枠あり予約,2,3
アレルギー科,未来院,枠あり予約,3,3
アレルギー科,終了,枠あり予約,0,35
アレルギー科,終了,枠あり予約,1,48
アレルギー科,終了,枠あり予約,2,29
アレルギー科,終了,枠あり予約,3,49
アレルギー科,終了,枠なし予約,0,2
アレルギー科,終了,枠なし予約,1,2
アレルギー科,終了,枠なし予約,2,2
アレルギー科,終了,枠なし予約,3,2
ソーシャルワーカー,保留,枠あり予約,1,1
ソーシャルワーカー,保留,枠あり予約,2,1
ソーシャルワーカー,未来院,枠あり予約,0,10
ソーシャルワーカー,未来院,枠あり予約,1,6
ソーシャルワーカー,未来院,枠あり予約,2,2
ソーシャルワーカー,未来院,枠あり予約,3,5
ソーシャルワーカー,未来院,枠あり予約,4,7
ソーシャルワーカー,未来院,枠なし予約,0,1
ソーシャルワーカー,未来院,枠なし予約,1,1
ソーシャルワーカー,未来院,枠なし予約,4,1
ソーシャルワーカー,病院到着,枠あり予約,1,1
ソーシャルワーカー,病院到着,枠あり予約,2,2
ソーシャルワーカー,病院到着,枠あり予約,3,2
ソーシャルワーカー,病院到着,枠あり予約,4,4
ソーシャルワーカー,病院到着,枠なし予約,0,2
ソーシャルワーカー,病院到着,枠なし予約,1,2
ソーシャルワーカー,病院到着,枠なし予約,2,1
ソーシャルワーカー,病院到着,枠なし予約,4,2
ソーシャルワーカー,終了,枠あり予約,0,13
ソーシャルワーカー,終了,枠あり予約,1,14
ソーシャルワーカー,終了,枠あり予約,2,19
ソーシャルワーカー,終了,枠あり予約,3,10
ソーシャルワーカー,終了,枠あり予約,4,11
ソーシャルワーカー,終了,枠なし予約,0,1
ソーシャルワーカー,終了,枠なし予約,1,5
ソーシャルワーカー,終了,枠なし予約,3,2
ソーシャルワーカー,終了,枠なし予約,4,2
メンタルケア科,未来院,枠あり予約,0,4
メンタルケア科,未来院,枠あり予約,2,7
メンタルケア科,未来院,枠あり予約,3,2
メンタルケア科,未来院,枠あり予約,4,5
メンタルケア科,未来院,枠なし予約,0,3
メンタルケア科,未来院,枠なし予約,1,1
メンタルケア科,未来院,枠なし予約,2,2
メンタルケア科,未来院,枠なし予約,3,3
メンタルケア科,未来院,枠なし予約,4,1
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠なし予約,0,2
メンタルケア科,終了,枠あり予約,0,83
メンタルケア科,終了,枠あり予約,1,40
メンタルケア科,終了,枠あり予約,2,112
メンタルケア科,終了,枠あり予約,3,7
メンタルケア科,終了,枠あり予約,4,3
メンタルケア科,終了,枠なし予約,0,20
メンタルケア科,終了,枠なし予約,1,17
メンタルケア科,終了,枠なし予約,2,21
メンタルケア科,終了,枠なし予約,3,19
メンタルケア科,終了,枠なし予約,4,19
メンタルケア科,診察中,枠なし予約,3,1
リウマチ膠原病内科,未来院,枠あり予約,0,1
リウマチ膠原病内科,未来院,枠あり予約,1,3
リウマチ膠原病内科,未来院,枠あり予約,2,8
リウマチ膠原病内科,未来院,枠あり予約,3,6
リウマチ膠原病内科,未来院,枠あり予約,4,7
リウマチ膠原病内科,未来院,枠なし予約,0,2
リウマチ膠原病内科,未来院,枠なし予約,1,3
リウマチ膠原病内科,病院到着,枠あり予約,1,5
リウマチ膠原病内科,病院到着,枠あり予約,2,2
リウマチ膠原病内科,病院到着,枠あり予約,3,1
リウマチ膠原病内科,病院到着,枠なし予約,3,1
リウマチ膠原病内科,終了,枠あり予約,0,151
リウマチ膠原病内科,終了,枠あり予約,1,179
リウマチ膠原病内科,終了,枠あり予約,2,154
リウマチ膠原病内科,終了,枠あり予約,3,227
リウマチ膠原病内科,終了,枠あり予約,4,177
リウマチ膠原病内科,終了,枠なし予約,0,28
リウマチ膠原病内科,終了,枠なし予約,1,35
